alpha,chi,initial,final,q,eta_abs_M,landau_zener_z,depletion_probability
0.125,0.24594549892517448,32+2,32+0,0.1333521432163324,2.937654016626568e-14,582.7726339067797,1.0
0.125,0.24594549892517448,32+2,32+0,0.1778279410038923,3.769499263896345e-14,728.8489163610687,1.0
0.125,0.24594549892517448,32+2,32+0,0.23713737056616552,4.785723349389739e-14,895.5243316315758,1.0
0.125,0.24594549892517448,32+2,32+0,0.31622776601683794,5.998386800682945e-14,1077.0160782653713,1.0
0.125,0.24594549892517448,32+2,32+0,0.4216965034285822,7.405572196165528e-14,1263.0749091175423,1.0
0.125,0.24594549892517448,32+2,32+0,0.5623413251903491,8.986479648993158e-14,1439.286989460042,1.0
0.125,0.24594549892517448,32+2,32+0,0.7498942093324559,1.0699259511143866e-13,1588.8672382132945,1.0
0.125,0.24594549892517448,32+2,32+0,1.0,1.248347568876575e-13,1695.8623848319112,1.0
0.125,0.1654372948396467,43+3,43+1,0.0001,5.311096519286458e-19,1.1291962429775813,0.9991707171300861
0.125,0.1654372948396467,43+3,43+1,0.0001333521432163324,7.082224852997312e-19,1.5057237000467916,0.9999221511186281
0.125,0.1654372948396467,43+3,43+1,0.00017782794100389227,9.443878660837651e-19,2.0077660142413434,0.9999966787386448
0.125,0.1654372948396467,43+3,43+1,0.00023713737056616554,1.2592867853959678e-18,2.6771344203885366,0.9999999504821019
0.125,0.1654372948396467,43+3,43+1,0.00031622776601683794,1.67915314416492e-18,3.569545697556806,0.9999999998182005
0.125,0.1654372948396467,43+3,43+1,0.00042169650342858224,2.2389506409813176e-18,4.759229342670358,0.9999999999998969
0.125,0.1654372948396467,43+3,43+1,0.0005623413251903491,2.9852689796608123e-18,6.345047556162786,1.0
0.125,0.1654372948396467,43+3,43+1,0.0007498942093324559,3.980174091567777e-18,8.458614162687118,1.0
0.125,0.1654372948396467,43+3,43+1,0.001,5.306321307630757e-18,11.275046478896094,1.0
