alpha,chi,initial,final,status,irg_trace_residual,irg_tetrad_residual,operator_form_residual,ward_identity_residual,schwarzschild_gauge_residual
0.4,0.49569765486450124,43+3,41+1,gauge_audit_failed,8.094339559495079e-17,1.7772851101770762e-15,2.400398901099799e-10,nan,0.08815813964768277
0.42499999999999993,0.982148905124792,21+1,21-1,gauge_audit_failed,3.876451366168931e-16,2.514206119882869e-15,1.6146326409849134e-10,nan,4.654814388529181e-08
0.42499999999999993,0.7145703718844824,32+2,32+0,gauge_audit_failed,1.7963742635353522e-16,9.393677329718946e-16,2.0046058091702602e-10,nan,2.179414401127035e-10
0.42499999999999993,0.7145703718844824,32+2,30+0,gauge_audit_failed,1.348159744770192e-16,1.3058378926896648e-15,1.9524340289687045e-10,nan,0.4111348358136805
0.42499999999999993,0.5228851362802492,43+3,43+1,gauge_audit_failed,2.066036684011472e-16,9.32175053827376e-16,2.412567456015804e-10,nan,2.115534211638902e-09
0.42499999999999993,0.5228851362802492,43+3,41+1,gauge_audit_failed,1.5133721572760338e-16,7.923936813380374e-16,2.453404307594311e-10,nan,0.1062202338250604
0.45,0.990615014283061,21+1,21-1,gauge_audit_failed,4.0138178979761216e-16,4.186513610577342e-15,1.921871614875818e-10,nan,1.3485748640720565e-07
0.45,0.742385297295443,32+2,32+0,gauge_audit_failed,9.053756326101924e-17,2.3345885568406273e-15,2.1011030926493866e-10,nan,8.38189523595748e-11
0.45,0.742385297295443,32+2,30+0,gauge_audit_failed,1.6984850429424373e-16,1.7025554324551215e-15,2.227298623359941e-10,nan,0.4025390439376065
0.45,0.5485222024975507,43+3,43+1,gauge_audit_failed,2.254080811583848e-16,1.4592809923295064e-15,2.586935805608751e-10,nan,1.543334752339829e-09
0.45,0.5485222024975507,43+3,41+1,gauge_audit_failed,2.0334094660226522e-16,1.4029960531942751e-15,2.5852767033310134e-10,nan,0.4973029539238646
