alpha,hydrogenic_abs,irg_real,irg_imag,irg_abs,rw_real,rw_imag,rw_abs,irg_over_hydrogenic,leading_alpha2_coefficient,irg_rw_relative_residual,gauge_pass,weak_field_pass
0.05,71999.99999999964,-0.00012443531859440444,-71487.78006924789,71487.78006924789,-0.00012444536824754681,-71487.78006923228,71487.78006923228,0.9928858342951147,2.8456662819541285,2.5974735988994277e-13,True,True
0.075,21333.33333333322,-0.0006639920465225142,-20991.23449129426,20991.23449129427,-0.0006639801112894778,-20991.234491274423,20991.234491274434,0.9839641167794242,2.8508236836579215,1.1029127935779765e-12,True,False
0.1,8999.999999999958,-0.0024817226299187205,-8742.74732189101,8742.747321891364,-0.002481725617903253,-8742.74732187489,8742.74732187524,0.9714163690990449,2.8583630900955055,1.875412842561573e-12,True,
