alpha,chi,state,omega_real_M,gamma_M,separation_real,separation_imag,bilinear_norm_real,bilinear_norm_imag,r_99_M,cf_residual,radial_residual,angular_residual,converged,message,truncation,real_frequency_relative_to_max_N,gamma_relative_to_max_N,norm_error
0.1,0.3841668178968236,21+1,0.09987367262713033,6.5009854871123936e-21,2.000000745285576,-3.8329207060410774e-23,0.9999999999999999,-1.3867299740974967e-16,1149.1890217735734,1.7194955179585657e-13,1.4813569474013445e-09,5.013521749625968e-17,True,ok,150,1.7283025667667808e-12,0.8521148053834682,1.776405129881209e-16
0.1,0.3841668178968236,21+1,0.09987367262697144,-4.320750173022893e-21,2.000000745285577,2.5474742001215832e-23,0.9999999999999999,-1.3812329273841907e-16,1149.1890208892175,4.036853421231391e-13,1.3705023031673544e-10,8.799431892031638e-17,True,ok,250,1.374249267191145e-13,1.0982889411910877,1.7721172546132865e-16
0.1,0.3841668178968236,21+1,0.09987367262695772,4.39596776673252e-20,2.0000007452855773,-2.5918217952603457e-22,1.0,-5.957002010117176e-17,1149.189020826677,1.315735709795572e-13,9.757705338429639e-12,5.0135217496259663e-17,True,ok,400,0.0,0.0,5.957002010117176e-17
0.1,0.3841668178968236,21-1,0.09987360457617998,-3.560659188891424e-11,2.000000745686798,2.09933017984852e-13,1.0000000000000002,4.365049888532154e-10,1148.631545765134,6.096240131597239e-15,6.3049801521311774e-09,5.190046338870778e-17,True,ok,150,7.218217929617732e-12,0.004007621122637062,4.365049888532719e-10
0.1,0.3841668178968236,21-1,0.09987360457684354,-3.547556077399258e-11,2.000000745686794,2.0916047122042817e-13,0.9999999999999999,4.3650513007900184e-10,1148.6315494245991,5.867622750750893e-14,5.828219902269796e-10,8.799431890793197e-17,True,ok,250,5.742948525056324e-13,0.0003129053128237028,4.3650513007901596e-10
0.1,0.3841668178968236,21-1,0.09987360457690089,-3.546446375486724e-11,2.0000007456867936,2.0909504427031105e-13,1.0000000000000004,4.365050386300733e-10,1148.6315496830484,2.6393079771446637e-13,4.126279854869e-11,5.0135217506546736e-17,True,ok,400,0.0,0.0,4.365050386302992e-10
0.1,0.19791155474884012,32+2,0.0999442317375743,3.0255764254613085e-23,6.00000006239363,-3.3840760404633046e-26,1.0,6.035543031767614e-17,2177.3185683678184,5.48898210169093e-13,7.251242223374434e-13,5.386277847398437e-17,True,ok,150,0.0,4.5048694929485567e-08,6.035543031767614e-17
0.1,0.19791155474884012,32+2,0.0999442317375743,3.015350394005994e-23,6.00000006239363,-3.3726383297032207e-26,0.9999999999999996,2.589139320755858e-17,2177.31856836781,6.1584965160743844e-12,7.3732789411906e-13,5.386277847398437e-17,True,ok,250,0.0,0.0033799071168249743,4.448433325874193e-16
0.1,0.19791155474884012,32+2,0.0999442317375743,3.025576561759584e-23,6.00000006239363,-3.38407619291152e-26,0.9999999999999997,-9.997022036968662e-17,2177.3185683677843,6.42969019681852e-12,7.629981579232171e-13,5.386277847398437e-17,True,ok,400,0.0,0.0,3.477464733932876e-16
0.1,0.19791155474884012,32+0,0.09994422975309299,7.910271254419438e-17,6.000000228784784,-3.2441042058040956e-19,1.0000000000000004,-3.376296913378516e-18,2177.2432230735894,5.7220407766173916e-11,6.1068578426065176e-12,4.9007898527822943e-17,True,ok,150,0.0,0.0001800115138629577,4.441020442264371e-16
0.1,0.19791155474884012,32+0,0.09994422975309299,7.911695842465872e-17,6.000000228784784,-3.2446884505892144e-19,0.9999999999999998,3.3058620214474675e-16,2177.2432230735894,5.644705188890892e-11,6.10682076678156e-12,4.9007898527822943e-17,True,ok,250,0.0,4.951797433085969e-08,3.982349101030704e-16
0.1,0.19791155474884012,32+0,0.09994422975309299,7.91169545069474e-17,6.000000228784784,-3.244688289030499e-19,1.0000000000000004,3.4339842393662024e-16,2177.2432230735894,5.6420976845565444e-11,6.1067720251941594e-12,4.9007898527822943e-17,True,ok,400,0.0,0.0,5.613712709672696e-16
0.1,0.19791155474884012,32+2,0.0999442317375743,3.0255764254613085e-23,6.00000006239363,-3.3840760404633046e-26,1.0,6.035543031767614e-17,2177.3185683678184,5.48898210169093e-13,7.251242223374434e-13,5.386277847398437e-17,True,ok,150,0.0,4.5048694929485567e-08,6.035543031767614e-17
0.1,0.19791155474884012,32+2,0.0999442317375743,3.015350394005994e-23,6.00000006239363,-3.3726383297032207e-26,0.9999999999999996,2.589139320755858e-17,2177.31856836781,6.1584965160743844e-12,7.3732789411906e-13,5.386277847398437e-17,True,ok,250,0.0,0.0033799071168249743,4.448433325874193e-16
0.1,0.19791155474884012,32+2,0.0999442317375743,3.025576561759584e-23,6.00000006239363,-3.38407619291152e-26,0.9999999999999997,-9.997022036968662e-17,2177.3185683677843,6.42969019681852e-12,7.629981579232171e-13,5.386277847398437e-17,True,ok,400,0.0,0.0,3.477464733932876e-16
0.1,0.19791155474884012,30+0,0.09994218702910664,-5.452225834102833e-07,1.5092138237546013e-07,1.4228978056923394e-09,1.0000000000118703,-3.5467226719392952e-12,2459.783807044437,5.403554055310014e-13,0.00029051718659437353,4.932547231902621e-17,False,mode-function or normalization residual failed,150,1.927775589507741e-08,0.003337799358537856,1.2388819522656279e-11
0.1,0.19791155474884012,30+0,0.09994218864244535,-5.437012243273061e-07,1.5091717193371146e-07,1.418927452890889e-09,0.9999999999927812,-7.376007071529416e-12,2459.8004745428425,1.1235151203025225e-13,3.1808506283896986e-05,6.491989974435061e-17,False,mode-function or normalization residual failed,250,3.135036494175037e-09,0.0005381407956058611,1.0320672521653606e-11
0.1,0.19791155474884012,30+0,0.09994218895576776,-5.434087938866247e-07,1.5091635423457014e-07,1.4181642852828056e-09,1.0000000000287992,1.8145256288522858e-12,2459.8062136737385,1.6693642962362878e-14,3.4788966995546637e-06,6.492025454959262e-17,False,mode-function or normalization residual failed,400,0.0,0.0,2.885629177193589e-11
0.1,0.1327021676878389,43+3,0.09996868936896305,8.994223700449666e-33,12.000000012250881,-3.518610569343309e-36,0.9999999999999998,-8.607529140909113e-17,3473.613015036963,3.0463630966912e-11,1.827942550202185e-12,8.00878350257895e-17,True,ok,150,0.0,2.8673862032753547e-12,2.3814441494075226e-16
0.1,0.1327021676878389,43+3,0.09996868936896305,8.994223700474374e-33,12.000000012250881,-3.518610569352975e-36,0.9999999999999998,-4.263100952600705e-17,3473.613015036945,3.046823413439625e-11,1.8170142004670284e-12,8.00878350257895e-17,True,ok,250,0.0,1.2034927766055427e-13,2.2609999900380305e-16
0.1,0.1327021676878389,43+3,0.09996868936896305,8.994223700475456e-33,12.000000012250881,-3.518610569353399e-36,0.9999999999999999,-8.794856901379099e-20,3473.613015036932,3.046833136916735e-11,1.8007011962914297e-12,8.00878350257895e-17,True,ok,400,0.0,0.0,1.110223372976317e-16
0.1,0.1327021676878389,43+1,0.09996868917013094,1.0620442022804304e-24,12.00000005145403,-1.74501598284963e-27,1.0000000000000002,6.61998629899409e-17,3473.5903992312824,1.5456837297491976e-11,9.905741098525077e-12,7.585738175088884e-17,True,ok,150,0.0,1.3773960735318965e-09,2.317028882776393e-16
0.1,0.1327021676878389,43+1,0.09996868917013094,1.0620442037111216e-24,12.00000005145403,-1.74501598284963e-27,0.9999999999999998,1.937012302774186e-16,3473.5903992312824,1.5455451011860486e-11,9.90575745058611e-12,7.585738175088884e-17,True,ok,250,0.0,3.028525591497619e-11,2.946590795941961e-16
0.1,0.1327021676878389,43+1,0.09996868917013094,1.062044203743286e-24,12.00000005145403,-1.74501598284963e-27,1.0,1.5602163289917234e-16,3473.5903992312574,1.5455421719788824e-11,9.905738936202095e-12,7.585738175088884e-17,True,ok,400,0.0,0.0,1.5602163289917234e-16
0.1,0.1327021676878389,43+3,0.09996868936896305,8.994223700449666e-33,12.000000012250881,-3.518610569343309e-36,0.9999999999999998,-8.607529140909113e-17,3473.613015036963,3.0463630966912e-11,1.827942550202185e-12,8.00878350257895e-17,True,ok,150,0.0,2.8673862032753547e-12,2.3814441494075226e-16
0.1,0.1327021676878389,43+3,0.09996868936896305,8.994223700474374e-33,12.000000012250881,-3.518610569352975e-36,0.9999999999999998,-4.263100952600705e-17,3473.613015036945,3.046823413439625e-11,1.8170142004670284e-12,8.00878350257895e-17,True,ok,250,0.0,1.2034927766055427e-13,2.2609999900380305e-16
0.1,0.1327021676878389,43+3,0.09996868936896305,8.994223700475456e-33,12.000000012250881,-3.518610569353399e-36,0.9999999999999999,-8.794856901379099e-20,3473.613015036932,3.046833136916735e-11,1.8007011962914297e-12,8.00878350257895e-17,True,ok,400,0.0,0.0,1.110223372976317e-16
0.1,0.1327021676878389,41+1,0.09996850678734175,-1.286893207446301e-12,2.000000022180156,9.061951575400186e-16,0.9999999999161286,-3.574814625165045e-11,4103.472519236396,2.07307339684115e-12,3.2591133078940045e-07,8.799434124043097e-17,False,mode-function or normalization residual failed,150,1.4194508340167502e-12,0.05043357309313906,9.117200246549567e-11
0.1,0.1327021676878389,41+1,0.0999685067874679,-1.2319484133166483e-12,2.000000022180156,8.675045295354464e-16,0.9999999999706373,-9.970438658589193e-12,4103.47250142803,6.580234994726268e-14,1.7529802164019733e-08,5.0135198956138224e-17,False,mode-function or normalization residual failed,250,1.5756251311579575e-13,0.005584586334549419,3.10093505634993e-11
0.1,0.1327021676878389,41+1,0.09996850678748365,-1.2251066991860092e-12,2.000000022180156,8.626867807289279e-16,0.9999999999642676,3.245154382440133e-11,4103.472501181092,9.306161696061807e-13,9.203404331440493e-10,4.85780321913798e-17,True,ok,400,0.0,0.0,4.826912391015609e-11
0.125,0.4697634897135886,21+1,0.124751808008509,6.13733581241197e-20,2.0000027358027688,-6.758416857782192e-22,1.0,-2.583838103892707e-16,731.4646745336565,1.2861183453277163e-14,1.3845851470157656e-09,8.497069832255964e-17,True,ok,150,2.3787129135231608e-12,1.4540140161020376,2.583838103892707e-16
