alpha,gauge_residual,hydrogenic_kernel_abs,irg_kernel_abs,kernel_ratio,rw_kernel_abs,row_type,status,c0,c2,c4,maximum_fit_residual,maximum_gauge_residual
0.03,7.193957039543932e-09,333333.3333333322,332480.337290951,0.9974410118728564,332480.3372905949,,,,,,,
0.04,4.122909542444176e-09,140624.99999999962,139985.04482051614,0.9954492076125618,139985.04481888187,,,,,,,
0.05,7.509275813972234e-10,71999.99999999964,71487.78184972082,0.9928858590239054,71487.78184851189,,,,,,,
0.06,1.632735688906049e-09,41666.666666666395,41239.54961855541,0.9897491908453362,41239.549617866745,,,,,,,
0.075,3.2466596543830294e-09,21333.33333333322,20991.23553783368,0.983964165835959,20991.235537622855,,,,,,,
0.1,2.8435935649969094e-09,8999.999999999958,8742.747530673056,0.9714163922970107,8742.747530717248,,,,,,,
,,,,,,fit,ok,0.9999991715302026,-2.84095005324978,-1.7324962443031553,1.5561926636209478e-07,7.193957039543932e-09
