alpha,chi,q,status,residual,discriminant_normalized,omega_res_M,radius_M,radius_over_cloud,eta_M,delta_gamma_M,analytic_q
0.03,0.22486111111111112,,no_root,,,1.3660312499999997e-11,,,,1.9217761583505451e-16,
0.03,0.22985555555555556,,no_root,,,1.3963724999999996e-11,,,,1.964367482738961e-16,
0.03,0.23485,,no_root,,,1.4267137499999998e-11,,,,2.0069525713432853e-16,
0.03,0.23984444444444444,,no_root,,,1.457055e-11,,,,2.0495312819002742e-16,
0.03,0.2448388888888889,,no_root,,,1.48739625e-11,,,,2.092103471673078e-16,
0.03,0.24983333333333335,,no_root,,,1.5177375e-11,,,,2.1346689974368979e-16,
0.03,0.25482777777777776,,no_root,,,1.5480787499999997e-11,,,,2.1772277154643197e-16,
0.03,0.25982222222222223,,no_root,,,1.5784199999999997e-11,,,,2.2197794815103185e-16,
0.03,0.2648166666666667,,no_root,,,1.6087612499999998e-11,,,,2.2623241507969057e-16,
0.03,0.2698111111111111,,no_root,,,1.6391024999999995e-11,,,,2.30486157799743e-16,
