point_id,alpha,chi,initial,final,kind,support,support_inner_M,support_outer_M,relative_amplitude,absolute_amplitude,omega_res_M,physical_kernel_abs,support_physical_kernel_abs,direct_pure_gauge_kernel_real,direct_pure_gauge_kernel_imag,direct_pure_gauge_kernel_abs,green_pure_gauge_kernel_abs,shifted_support_kernel_abs,ward_evaluation,frequency_convention,amplitude_evaluation,ward_radial_nodes,ward_angular_nodes,pure_gauge_residual,invariance_residual,superposition_residual,green_cross_residual,off_0.99_residual,off_0.99_green_cross_residual,off_0.99_response_abs,off_1.01_residual,off_1.01_green_cross_residual,off_1.01_response_abs,audit_maximum_superposition_residual,audit_maximum_green_cross_residual
a0.100000_21+1_21-1,0.1,0.38416681789681867,21+1,21-1,temporal,near_horizon,3.923263697990467,11.923263697990468,0.1,1867.750884888656,"{""imag"": 1.773223199692101e-11, ""real"": 3.4025028412820735e-08}",8742.720103640839,2.982416107107825e-06,-2.1905619411931652e-17,-6.1678003419925185e-21,2.190562028024219e-17,0.0,2.982416107088479e-06,direct production delta Box,complex on-shell QBS pole difference,unit metric projected directly; requested amplitude restored by exact linear scaling,240,16,2.5055840768732563e-21,2.512116948377186e-21,7.620573526037606e-24,2.5055840768732563e-21,6.570110981409499e-19,7.811897921579956e-16,5.744064136032027e-15,6.570200787489577e-19,1.1670924617096075e-15,5.744142650974199e-15,1.6659223870834443e-12,2.6236718655505988e-08
a0.100000_21+1_21-1,0.1,0.38416681789681867,21+1,21-1,temporal,near_horizon,3.923263697990467,11.923263697990468,1.0,18677.50884888656,"{""imag"": 1.773223199692101e-11, ""real"": 3.4025028412820735e-08}",8742.720103640839,2.982416107107825e-06,-2.1905619411931652e-16,-6.167800341992518e-20,2.1905620280242188e-16,0.0,2.9824161069143642e-06,direct production delta Box,complex on-shell QBS pole difference,unit metric projected directly; requested amplitude restored by exact linear scaling,240,16,2.505584076873256e-20,2.5121218050344016e-20,7.629719732617473e-23,2.505584076873256e-20,6.570110981409499e-18,7.8118979215626e-15,5.744064136032027e-14,6.570200787489575e-18,1.1670924617105958e-14,5.744142650974198e-14,,
a0.100000_21+1_21-1,0.1,0.38416681789681867,21+1,21-1,temporal,cloud_core,229.83766780075507,804.4318373026427,0.1,38518925343.26231,"{""imag"": 1.773223199692101e-11, ""real"": 3.4025028412820735e-08}",8742.720103640839,6051.976039142635,2.2102406368227927e-07,1.5748211300221978e-09,2.210296739992615e-07,0.0,6051.976039144902,direct production delta Box,complex on-shell QBS pole difference,unit metric projected directly; requested amplitude restored by exact linear scaling,240,16,2.5281568136582043e-11,2.5427145591548912e-11,1.6657693374022307e-13,2.5281568136582043e-11,5.0478466010024155e-05,2.6236718655505988e-08,0.44131909958678894,5.0478466134739755e-05,7.310024490263308e-09,0.44131910067714253,,
a0.100000_21+1_21-1,0.1,0.38416681789681867,21+1,21-1,temporal,cloud_core,229.83766780075507,804.4318373026427,1.0,385189253432.62305,"{""imag"": 1.773223199692101e-11, ""real"": 3.4025028412820735e-08}",8742.720103640839,6051.976039142635,2.2102406368227926e-06,1.5748211300221978e-08,2.2102967399926146e-06,0.0,6051.976039165293,direct production delta Box,complex on-shell QBS pole difference,unit metric projected directly; requested amplitude restored by exact linear scaling,240,16,2.528156813658204e-10,2.542714579395283e-10,1.6659223870834443e-12,2.528156813658204e-10,0.0005047846601002415,2.6236718655493484e-08,4.413190995867889,0.0005047846613473975,7.310024450555121e-09,4.413191006771425,,
a0.100000_21+1_21-1,0.1,0.38416681789681867,21+1,21-1,radial,near_horizon,3.923263697990467,11.923263697990468,0.1,288.8969260058266,"{""imag"": 1.773223199692101e-11, ""real"": 3.4025028412820735e-08}",8742.720103640839,2.982416107107825e-06,-5.747271453520909e-21,2.0361555312833825e-18,2.0361636424180336e-18,0.0,2.9824161071087774e-06,direct production delta Box,complex on-shell QBS pole difference,unit metric projected directly; requested amplitude restored by exact linear scaling,240,16,2.3289818480750505e-22,2.318209365904357e-22,1.0775301152492542e-24,2.3289818480750505e-22,7.431267765938365e-20,4.7703627572152045e-17,6.496949409280748e-16,7.431394850804009e-20,1.1931157661506577e-16,6.497060516021722e-16,,
a0.100000_21+1_21-1,0.1,0.38416681789681867,21+1,21-1,radial,near_horizon,3.923263697990467,11.923263697990468,1.0,2888.9692600582657,"{""imag"": 1.773223199692101e-11, ""real"": 3.4025028412820735e-08}",8742.720103640839,2.982416107107825e-06,-5.747271453520909e-20,2.0361555312833824e-17,2.0361636424180335e-17,0.0,2.9824161071173485e-06,direct production delta Box,complex on-shell QBS pole difference,unit metric projected directly; requested amplitude restored by exact linear scaling,240,16,2.3289818480750503e-21,2.318257676825886e-21,1.072823200186244e-23,2.3289818480750503e-21,7.431267765938364e-19,4.770362757197761e-16,6.496949409280748e-15,7.431394850804009e-19,1.1931157661527066e-15,6.497060516021722e-15,,
a0.100000_21+1_21-1,0.1,0.38416681789681867,21+1,21-1,radial,cloud_core,229.83766780075507,804.4318373026427,0.1,70133037.55637407,"{""imag"": 1.773223199692101e-11, ""real"": 3.4025028412820735e-08}",8742.720103640839,6051.976039142635,4.5103728911881936e-14,4.6600992457673576e-11,4.660101428495426e-11,0.0,6051.97603914259,direct production delta Box,complex on-shell QBS pole difference,unit metric projected directly; requested amplitude restored by exact linear scaling,240,16,5.330264921274058e-15,5.30548908918026e-15,2.6540527953131595e-17,5.330264921274058e-15,2.67516727038923e-09,1.5820846299026294e-09,2.3388238675433906e-05,2.67516722388969e-09,1.548479048815038e-09,2.3388238268901446e-05,,
a0.100000_21+1_21-1,0.1,0.38416681789681867,21+1,21-1,radial,cloud_core,229.83766780075507,804.4318373026427,1.0,701330375.5637407,"{""imag"": 1.773223199692101e-11, ""real"": 3.4025028412820735e-08}",8742.720103640839,6051.976039142635,4.5103728911881933e-13,4.660099245767357e-10,4.660101428495425e-10,0.0,6051.976039142169,direct production delta Box,complex on-shell QBS pole difference,unit metric projected directly; requested amplitude restored by exact linear scaling,240,16,5.330264921274057e-14,5.347102271517626e-14,1.9628160070958158e-16,5.330264921274057e-14,2.6751672703892295e-08,5.913965281527794e-09,0.00023388238675433904,2.67516722388969e-08,5.78834475835348e-09,0.00023388238268901444,,
a0.100000_21+1_21-1,0.1,0.38416681789681867,21+1,21-1,polar,near_horizon,3.923263697990467,11.923263697990468,0.1,466.937721222164,"{""imag"": 1.773223199692101e-11, ""real"": 3.4025028412820735e-08}",8742.720103640839,2.982416107107825e-06,4.019435645461465e-21,1.038734030302177e-18,1.038741806981269e-18,0.0,2.982416107108312e-06,direct production delta Box,complex on-shell QBS pole difference,unit metric projected directly; requested amplitude restored by exact linear scaling,240,16,1.1881219971215741e-22,1.1815053143853652e-22,8.64013365031969e-25,1.1881219971215741e-22,5.230326243760388e-20,3.8578755483698783e-17,4.572727839992422e-16,5.230369116943033e-20,3.1850510938843575e-17,4.572765322816003e-16,,
a0.100000_21+1_21-1,0.1,0.38416681789681867,21+1,21-1,polar,near_horizon,3.923263697990467,11.923263697990468,1.0,4669.37721222164,"{""imag"": 1.773223199692101e-11, ""real"": 3.4025028412820735e-08}",8742.720103640839,2.982416107107825e-06,4.019435645461465e-20,1.0387340303021769e-17,1.0387418069812689e-17,0.0,2.9824161071126953e-06,direct production delta Box,complex on-shell QBS pole difference,unit metric projected directly; requested amplitude restored by exact linear scaling,240,16,1.188121997121574e-21,1.1815780610530922e-21,8.647821000569774e-24,1.188121997121574e-21,5.230326243760387e-19,3.8578755483699565e-16,4.5727278399924215e-15,5.230369116943033e-19,3.1850510939021946e-16,4.5727653228160035e-15,,
