alpha,hydrogenic_kernel_abs,irg_kernel_abs,rw_kernel_abs,kernel_ratio,gauge_residual,row_type,status,c0,c2,c4,maximum_fit_residual,maximum_gauge_residual
0.03,333333.3333333322,332480.3378214545,332480.3378210954,0.9974410134643669,7.216413491246794e-09,,,,,,,
0.04,140624.99999999962,139985.04513133437,139985.04512976127,0.9954492098228248,4.134728823051127e-09,,,,,,,
0.05,71999.99999999964,71487.78201298337,71487.78201185385,0.9928858612914407,7.501586867973549e-10,,,,,,,
0.06,41666.666666666395,41239.54970458996,41239.54970396023,0.9897491929101655,1.612852166623172e-09,,,,,,,
0.075,21333.33333333322,20991.235570009132,20991.235569837394,0.9839641673441833,3.2319801682607944e-09,,,,,,,
0.1,8999.999999999958,8742.747536856725,8742.747536913123,0.971416392984085,2.815319788513026e-09,,,,,,,
,,,,,,fit,ok,0.9999991733613532,-2.8409499172133135,-1.7325218760929773,1.5534214070633823e-07,7.216413491246794e-09
