point_id,radius_M,theta,connection_abs,divergence_abs,residual,naive_result_relative,conditioning_scale,connection_stencil_residual,divergence_stencil_residual,difference_scale_coarse,difference_scale_fine
a0.100000_21+1_21-1,1.9252636979904671,0.37,1.217522958292509e-11,1.2175229583691521e-11,5.019847727809564e-12,9.16337102329293e-10,2.2225006019818093e-09,1.062304900623828e-07,1.0550278982965055e-07,0.2,0.1
a0.100000_21+1_21-1,1.9252636979904671,0.91,4.39212061389824e-09,4.3921206137685935e-09,9.686950652294425e-12,5.033609414190314e-11,2.282268224948687e-08,8.055449785814484e-07,8.000716222236137e-07,0.2,0.1
a0.100000_21+1_21-1,1.9252636979904671,1.57,1.0240267881433188e-07,1.0240267881581325e-07,1.4467481068264235e-11,1.4467481068264235e-11,6.288500299026151e-08,1.5862526245015312e-06,1.5753854697662098e-06,0.2,0.1
a0.100000_21+1_21-1,1.9252636979904671,2.31,3.6403957904341227e-07,3.640395790411033e-07,4.3489809006016055e-11,4.3489809006016055e-11,7.673188772974305e-08,9.143999415399174e-07,9.081332803154512e-07,0.2,0.1
a0.100000_21+1_21-1,402.2159186513214,0.37,0.004876894474851801,0.004876894474851127,1.0616775318808201e-16,2.0078083862443924e-13,9.2230167177877,1.6969545580265284e-16,4.6530941627734555e-17,0.2,0.1
a0.100000_21+1_21-1,402.2159186513214,0.91,0.05076060426760523,0.05076060426759783,1.863323883820669e-17,2.4080211647545835e-13,655.9922860082289,1.5550138868007056e-17,2.2880801819931502e-17,0.2,0.1
a0.100000_21+1_21-1,402.2159186513214,1.57,0.10323698787637697,0.10323698787636805,4.0118578509105266e-18,2.1607973017296838e-13,5560.3716066696325,5.9194279011626554e-18,1.4198985567760548e-17,0.2,0.1
a0.100000_21+1_21-1,402.2159186513214,2.31,0.042302208567947544,0.04230220856794842,4.624561529334083e-18,1.2603909671902328e-12,11529.162545041741,6.897291654732069e-19,7.633157302907862e-18,0.2,0.1
a0.100000_21+1_21-1,919.3506712030203,0.37,0.00426654489473982,0.004266544894739938,2.848662087722585e-17,2.8149148829655347e-13,42.160004778403376,3.7464593975980954e-17,2.1592929775982794e-18,0.2,0.1
a0.100000_21+1_21-1,919.3506712030203,0.91,0.04439925604233084,0.044399256042331574,4.483303639843888e-18,3.027960704133599e-13,2998.6637843165927,1.334361432229032e-18,6.5021737264351355e-18,0.2,0.1
a0.100000_21+1_21-1,919.3506712030203,1.57,0.09020964497799877,0.09020964497800885,1.1618053583180161e-18,3.2735201845794796e-13,25417.604727420166,1.9294744030725817e-19,1.9587290062345745e-18,0.2,0.1
