x,omega_M,population_211,population_21m1,norm
-10145.08432769492,8.0115518215728e-08,1.0,0.0,1.0
-10145.084323786938,8.011551821664653e-08,0.9999999566808686,4.330638318628445e-08,0.9999999999872518
-10145.08431890196,8.011551821779468e-08,0.9999997808818429,2.1897306480791803e-07,0.9999999998549077
-10145.084314016982,8.011551821894285e-08,0.9999994705040707,5.289504012620827e-07,0.9999999994544719
-10145.084309132004,8.0115518220091e-08,0.9999990265659763,9.720723355187102e-07,0.9999999986383118
-10145.08430324741,8.01155182214741e-08,0.9999983164807635,1.6804152115459003e-06,0.9999999968959751
-10145.084297362815,8.011551822285721e-08,0.9999974179291075,2.5761577377320053e-06,0.9999999940868451
-10145.08429147822,8.011551822424031e-08,0.9999963349985195,3.6549660357237247e-06,0.9999999899645552
-10145.084285593626,8.011551822562341e-08,0.9999950725852145,4.911703821974826e-06,0.9999999842890365
-10145.084279465624,8.011551822706372e-08,0.9999935733130413,6.403164111056302e-06,0.9999999764771523
-10145.084272363989,8.011551822873288e-08,0.9999916097172721,8.354951266100157e-06,0.9999999646685381
-10145.084265262354,8.011551823040204e-08,0.9999894156152992,1.0533928801771617e-05,0.999999949544101
-10145.08425816072,8.01155182320712e-08,0.9999870052530122,1.2925497821284659e-05,0.9999999307508335
-10145.084251059085,8.011551823374036e-08,0.999984394243773,1.5513716470356044e-05,0.9999999079602433
-10145.08424395745,8.01155182354095e-08,0.9999815994658473,1.8281404578035048e-05,0.9999998808704254
-10145.084236270795,8.011551823721616e-08,0.9999783882645334,2.1458123523137343e-05,0.9999998463880566
-10145.084227706611,8.011551823922908e-08,0.9999746114673032,2.518981952739548e-05,0.9999998012868305
-10145.084219142427,8.011551824124198e-08,0.9999706590704094,2.908972583804984e-05,0.9999997487962474
-10145.084210578243,8.011551824325489e-08,0.9999665679493687,3.3120677198466684e-05,0.9999996886265672
-10145.084202014059,8.01155182452678e-08,0.9999623762048918,3.724435624355993e-05,0.9999996205611353
-10145.084193449875,8.011551824728071e-08,0.9999581228044369,4.142165382925219e-05,0.9999995444582661
-10145.08418488569,8.011551824929363e-08,0.9999538472163533,4.561303606513552e-05,0.9999994602524184
-10145.084176321507,8.011551825130654e-08,0.9999495890400543,4.977891460718561e-05,0.9999993679546615
-10145.084167757323,8.011551825331944e-08,0.9999453876356769,5.388001674357112e-05,0.9999992676524204
-10145.084159193138,8.011551825533235e-08,0.9999412817566962,5.787775181523604e-05,0.9999991595085114
-10145.084150628954,8.011551825734526e-08,0.9999373091889178,6.173457055387205e-05,0.9999990437594717
-10145.084143777607,8.011551825895559e-08,0.9999342516775297,6.469421160359641e-05,0.9999989458891333
-10145.084135213423,8.01155182609685e-08,0.9999306098637649,6.820740906122198e-05,0.9999988172728261
-10145.084126649239,8.011551826298142e-08,0.999927199075229,7.14830081012983e-05,0.9999986820833303
