alpha,chi,q,mass_msun,status,saturation_spin,cloud_mass_fraction,log_required_occupancy,pre_resonance_efolds,birth_frequency_fraction,latest_birth_frequency_fraction
0.05,0.9,0.6481911252949748,10.0,formation_veto,0.19795898547598761,0.035102050726200616,179.06722928445464,5852592565.042436,0.5,0.9999999386208461
0.05,0.9,0.6481911252949748,100.0,formation_veto,0.19795898547598761,0.035102050726200616,183.6723994704427,5852592565.042436,0.5,0.9999999370423274
0.05,0.9,0.6481911252949748,1000000.0,formation_veto,0.19795898547598761,0.035102050726200616,202.0930802143951,5852592565.042436,0.5,0.9999999307282521
0.05,0.99,0.5381052997652165,10.0,formation_veto,0.19795898547598761,0.03960205072620063,179.18785063337637,6389409697.976145,0.5,0.999999943739874
0.05,0.99,0.5381052997652165,100.0,formation_veto,0.19795898547598761,0.03960205072620063,183.79302081936447,6389409697.976145,0.5,0.9999999422939763
0.05,0.99,0.5381052997652165,1000000.0,formation_veto,0.19795898547598761,0.03960205072620063,202.21370156331682,6389409697.976145,0.5,0.9999999365103823
0.1,0.9,0.8584865046004256,10.0,formation_veto,0.38416692891924115,0.05158330710807588,178.7590206643725,21613559.151440118,0.5,0.9999834086629285
0.1,0.9,0.8584865046004256,100.0,formation_veto,0.38416692891924115,0.05158330710807588,183.3641908503606,21613559.151440118,0.5,0.9999829812520685
0.1,0.9,0.8584865046004256,1000000.0,formation_veto,0.38416692891924115,0.05158330710807588,201.78487159431296,21613559.151440118,0.5,0.9999812716153272
0.1,0.99,0.6373671479121583,10.0,formation_veto,0.38416692891924115,0.06058330710807589,178.91984194474801,28549333.655305155,0.5,0.9999874279691178
0.1,0.99,0.6373671479121583,100.0,formation_veto,0.38416692891924115,0.06058330710807589,183.52501213073612,28549333.655305155,0.5,0.9999871043886117
0.1,0.99,0.6373671479121583,1000000.0,formation_veto,0.38416692891924115,0.06058330710807589,201.9456928746885,28549333.655305155,0.5,0.9999858100704261
0.15,0.99,0.834320742748373,10.0,formation_veto,0.5491359053629593,0.0661296141955561,178.60197410941245,826073.2075983731,0.5,0.9995666134022474
0.15,0.99,0.834320742748373,100.0,formation_veto,0.5491359053629593,0.0661296141955561,183.20714429540055,826073.2075983731,0.5,0.99955544783239
0.15,0.99,0.834320742748373,1000000.0,formation_veto,0.5491359053629593,0.0661296141955561,201.62782503935293,826073.2075983731,0.5,0.9995107901257152
0.175,0.99,0.9895905213066757,10.0,formation_veto,0.621682523891092,0.06445555831905889,178.4221827299566,186359.0505484393,0.5,0.9980860722885033
0.175,0.99,0.9895905213066757,100.0,formation_veto,0.621682523891092,0.06445555831905889,183.0273529159447,186359.0505484393,0.5,0.9980368504123149
